Diet,Food,Value,Year,
Ethiopia,milk_equivalents,84.54794521,2017,
Ethiopia,red_meat,11.45205479,2017,
Ethiopia,poultry,0.356164384,2017,
Ethiopia,eggs,1.178082192,2017,
Ethiopia,seafood,1.205479452,2017,
Ethiopia,legumes,59.8630137,2017,
Ethiopia,nuts,1.589041096,2017,
Ethiopia,oils,9.863013699,2017,
Ethiopia,sugar,22.76712329,2017,
EAT-Lancet,cereals,232,2016,
EAT-Lancet,roots_tubers,50,2016,
EAT-Lancet,vegetables,300,2016,
EAT-Lancet,fruits,200,2016,
EAT-Lancet,milk_equivalents,250,2016,
EAT-Lancet,red_meat,14,2016,
EAT-Lancet,poultry,29,2016,
EAT-Lancet,eggs,13,2016,
EAT-Lancet,seafood,28,2016,
EAT-Lancet,legumes,75,2016,
EAT-Lancet,nuts,50,2016,
EAT-Lancet,oils,52,2016,
EAT-Lancet,sugar,31,2016,
United Kingdom,cereals,329.6438356,2016,
United Kingdom,roots_tubers,235.0410959,2016,
United Kingdom,vegetables,228.630137,2016,
United Kingdom,fruits,240.0821918,2016,
United Kingdom,milk_equivalents,602.1643836,2016,
United Kingdom,red_meat,128.0547945,2016,
United Kingdom,poultry,89.09589041,2016,
United Kingdom,eggs,30.65753425,2016,
United Kingdom,seafood,54.38356164,2016,
United Kingdom,legumes,9.424657534,2016,
United Kingdom,nuts,4.273972603,2016,
United Kingdom,oils,49.75342466,2016,
United Kingdom,sugar,91.04109589,2016,
United States,cereals,300.109589,2016,
United States,roots_tubers,153.6712329,2016,
United States,vegetables,323.3150685,2016,
United States,fruits,239.9178082,2016,
United States,milk_equivalents,695.260274,2016,
United States,red_meat,182.1917808,2016,
United States,poultry,152.1917808,2016,
United States,eggs,41.39726027,2016,
United States,seafood,60.02739726,2016,
United States,legumes,10.16438356,2016,
United States,nuts,9.534246575,2016,
United States,oils,62.82191781,2016,
United States,sugar,90.16438356,2016,x
China,cereals,533.2328767,2016,
China,roots_tubers,179.7808219,2016,
China,vegetables,1015.945205,2016,
China,fruits,262.9589041,2016,
China,milk_equivalents,66.21917808,2016,
China,red_meat,127.6712329,2016,
China,poultry,35.78082192,2016,
China,eggs,61.23287671,2016,
China,seafood,104,2016,
China,legumes,3.534246575,2016,
China,nuts,7.753424658,2016,
China,oils,25.56164384,2016,
China,sugar,19.45205479,2016,
India,cereals,500.5205479,2016,
India,roots_tubers,77.01369863,2016,
India,vegetables,210.5753425,2016,
India,fruits,155.5068493,2016,
India,milk_equivalents,277.1232877,2016,
India,red_meat,4.082191781,2016,
India,poultry,5.945205479,2016,
India,eggs,8.438356164,2016,
India,seafood,18.05479452,2016,
India,legumes,41.15068493,2016,
India,nuts,4.054794521,2016,
India,oils,20.93150685,2016,
India,sugar,54.10958904,2016,
Ethiopia,cereals,436.6027397,2016,
Ethiopia,roots_tubers,224.0547945,2016,
Ethiopia,vegetables,37.53424658,2016,
Ethiopia,fruits,24.21917808,2016,
Ethiopia,milk_equivalents,87.5890411,2016,
Ethiopia,red_meat,10.95890411,2016,
Ethiopia,poultry,0.328767123,2016,
Ethiopia,eggs,1.178082192,2016,
Ethiopia,seafood,1.232876712,2016,
Ethiopia,legumes,60.82191781,2016,
Ethiopia,nuts,1.643835616,2016,
Ethiopia,oils,9.97260274,2016,
Ethiopia,sugar,19.91780822,2016,
EAT-Lancet,cereals,232,2015,
EAT-Lancet,roots_tubers,50,2015,
EAT-Lancet,vegetables,300,2015,
EAT-Lancet,fruits,200,2015,
EAT-Lancet,milk_equivalents,250,2015,
EAT-Lancet,red_meat,14,2015,
EAT-Lancet,poultry,29,2015,
EAT-Lancet,eggs,13,2015,
EAT-Lancet,seafood,28,2015,
EAT-Lancet,legumes,75,2015,
EAT-Lancet,nuts,50,2015,
EAT-Lancet,oils,52,2015,
EAT-Lancet,sugar,31,2015,
United Kingdom,cereals,324.1643836,2015,
United Kingdom,roots_tubers,236.4657534,2015,
United Kingdom,vegetables,220.9041096,2015,
United Kingdom,fruits,237.9726027,2015,
United Kingdom,milk_equivalents,619.3150685,2015,
United Kingdom,red_meat,125.7534247,2015,
United Kingdom,poultry,85.36986301,2015,
United Kingdom,eggs,30.35616438,2015,
United Kingdom,seafood,54.76712329,2015,
United Kingdom,legumes,10.52054795,2015,
United Kingdom,nuts,4,2015,
United Kingdom,oils,51.78082192,2015,
United Kingdom,sugar,92.1369863,2015,
United States,cereals,303.2054795,2015,
United States,roots_tubers,147.2876712,2015,
United States,vegetables,325.6164384,2015,
United States,fruits,235.0684932,2015,
United States,milk_equivalents,694.2465753,2015,
United States,red_meat,179.1232877,2015,
United States,poultry,149.7808219,2015,
United States,eggs,40,2015,
United States,seafood,60.05479452,2015,
United States,legumes,9.698630137,2015,
United States,nuts,9.260273973,2015,
United States,oils,62.63013699,2015,
United States,sugar,90.10958904,2015,
China,cereals,536.9315068,2015,
China,roots_tubers,181.4794521,2015,
China,vegetables,1006.109589,2015,
China,fruits,259.7534247,2015,
China,milk_equivalents,67.42465753,2015,
China,red_meat,129.4520548,2015,
China,poultry,33.61643836,2015,
China,eggs,60.49315068,2015,
China,seafood,102.7123288,2015,
China,legumes,3.479452055,2015,
China,nuts,7.232876712,2015,
China,oils,26.57534247,2015,
China,sugar,19.12328767,2015,
India,cereals,484.6027397,2015,
India,roots_tubers,78.57534247,2015,
India,vegetables,206.7671233,2015,
India,fruits,155.369863,2015,
India,milk_equivalents,263.890411,2015,
India,red_meat,4.02739726,2015,
India,poultry,5.753424658,2015,
India,eggs,7.97260274,2015,
India,seafood,17.5890411,2015,
India,legumes,41.83561644,2015,
India,nuts,4.767123288,2015,
India,oils,20.73972603,2015,
India,sugar,55.42465753,2015,
Ethiopia,cereals,429.7808219,2015,
Ethiopia,roots_tubers,216.1369863,2015,
Ethiopia,vegetables,33.94520548,2015,
Ethiopia,fruits,23.50684932,2015,
Ethiopia,milk_equivalents,93.50684932,2015,
Ethiopia,red_meat,11.17808219,2015,
Ethiopia,poultry,0.328767123,2015,
Ethiopia,eggs,1.260273973,2015,
Ethiopia,seafood,1.232876712,2015,
Ethiopia,legumes,59.12328767,2015,
Ethiopia,nuts,1.698630137,2015,
Ethiopia,oils,10.08219178,2015,
Ethiopia,sugar,19.42465753,2015,
EAT-Lancet,cereals,232,2014,
EAT-Lancet,roots_tubers,50,2014,
EAT-Lancet,vegetables,300,2014,
EAT-Lancet,fruits,200,2014,
EAT-Lancet,milk_equivalents,250,2014,
EAT-Lancet,red_meat,14,2014,
EAT-Lancet,poultry,29,2014,
EAT-Lancet,eggs,13,2014,
EAT-Lancet,seafood,28,2014,
EAT-Lancet,legumes,75,2014,
EAT-Lancet,nuts,50,2014,
EAT-Lancet,oils,52,2014,
EAT-Lancet,sugar,31,2014,
United Kingdom,cereals,324.1917808,2014,
United Kingdom,roots_tubers,244.8767123,2014,
United Kingdom,vegetables,230.5753425,2014,
United Kingdom,fruits,240.4109589,2014,
United Kingdom,milk_equivalents,616.1369863,2014,
United Kingdom,red_meat,122.109589,2014,
United Kingdom,poultry,77.50684932,2014,
United Kingdom,eggs,29.20547945,2014,
United Kingdom,seafood,55.12328767,2014,
United Kingdom,legumes,10.32876712,2014,
United Kingdom,nuts,3.452054795,2014,
United Kingdom,oils,53.28767123,2014,
United Kingdom,sugar,96.76712329,2014,
United States,cereals,302.9589041,2014,
United States,roots_tubers,152.739726,2014,
United States,vegetables,332.630137,2014,
United States,fruits,236.0821918,2014,
United States,milk_equivalents,685.3424658,2014,
United States,red_meat,179.6986301,2014,
United States,poultry,140.1917808,2014,
United States,eggs,40.82191781,2014,
United States,seafood,59.78082192,2014,
United States,legumes,9.616438356,2014,
United States,nuts,8.849315068,2014,
United States,oils,62.32876712,2014,
United States,sugar,89.91780822,2014,
China,cereals,532.5479452,2014,
China,roots_tubers,179.5616438,2014,
China,vegetables,961.0410959,2014,
China,fruits,260.3835616,2014,
China,milk_equivalents,78.65753425,2014,
China,red_meat,129.0410959,2014,
China,poultry,34.46575342,2014,
China,eggs,51.04109589,2014,
China,seafood,98.43835616,2014,
China,legumes,3.452054795,2014,
China,nuts,6.98630137,2014,
China,oils,25.89041096,2014,
China,sugar,18.10958904,2014,
India,cereals,488.3835616,2014,
India,roots_tubers,84.54794521,2014,
India,vegetables,220.9315068,2014,
India,fruits,158.9863014,2014,
India,milk_equivalents,248.0273973,2014,
India,red_meat,3.890410959,2014,
India,poultry,5.424657534,2014,
India,eggs,7.671232877,2014,
India,seafood,16.98630137,2014,
India,legumes,41.45205479,2014,
India,nuts,4.328767123,2014,
India,oils,20.98630137,2014,
India,sugar,51.39726027,2014,
Ethiopia,cereals,423.5890411,2014,
Ethiopia,roots_tubers,246.8493151,2014,
Ethiopia,vegetables,36.57534247,2014,
Ethiopia,fruits,22.49315068,2014,
Ethiopia,milk_equivalents,96.68493151,2014,
Ethiopia,red_meat,12.87671233,2014,
Ethiopia,poultry,1.095890411,2014,
Ethiopia,eggs,1.095890411,2014,
Ethiopia,seafood,1.397260274,2014,
Ethiopia,legumes,57.53424658,2014,
Ethiopia,nuts,1.726027397,2014,
Ethiopia,oils,9.397260274,2014,
Ethiopia,sugar,19.39726027,2014,
